,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
18,21,Local-gov,177729,11th,7,Never-married,Adm-clerical,Own-child,White,Male,-123,5,39,United-States,<=50K
19,36,Private,215582,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,Black,Male,-76,-6,35,United-States,<=50K
20,32,Private,129190,Bachelors,16,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,-103,6,40,United-States,<=50K
21,35,State-gov,265583,10th,9,Divorced,Sales,Husband,White,Male,-132,4,40,United-States,<=50K
22,36,Private,68886,HS-grad,11,Divorced,Prof-specialty,Not-in-family,White,Female,-124,3,51,United-States,<=50K
23,21,Private,162232,HS-grad,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,-2,-4,32,?,<=50K
24,42,?,248469,Preschool,11,Married-civ-spouse,Tech-support,Unmarried,Black,Male,-158,0,40,Mexico,>50K
25,74,Private,188343,7th-8th,9,Separated,Adm-clerical,Not-in-family,White,Male,-110,2,40,United-States,<=50K
26,45,Federal-gov,261581,HS-grad,14,Divorced,Adm-clerical,Not-in-family,White,Male,-114,4,38,United-States,>50K
27,65,Private,44858,Bachelors,11,Never-married,Sales,Not-in-family,White,Male,-78,3,63,United-States,<=50K
28,26,Private,172249,Some-college,10,Widowed,Prof-specialty,Own-child,Asian-Pac-Islander,Female,-39,2,40,United-States,<=50K
29,62,Private,210363,HS-grad,14,Married-civ-spouse,Other-service,Not-in-family,Asian-Pac-Islander,Male,6445,6,44,United-States,>50K
30,39,Private,176882,Bachelors,11,Never-married,Farming-fishing,Not-in-family,White,Male,-150,8,40,United-States,<=50K
31,35,Private,186182,HS-grad,9,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,-100,6,40,United-States,<=50K
32,45,Local-gov,344565,HS-grad,10,Married-civ-spouse,Exec-managerial,Own-child,White,Male,-117,3,40,United-States,<=50K
33,38,Private,221038,5th-6th,9,Separated,Machine-op-inspct,Other-relative,White,Male,-118,-4,40,United-States,>50K
34,51,Self-emp-not-inc,406058,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Female,-51,-2,20,United-States,>50K
35,44,Private,168517,HS-grad,6,Never-married,Prof-specialty,Not-in-family,Black,Male,-967,-1,40,United-States,<=50K
36,53,Private,251998,Some-college,9,Married-civ-spouse,Sales,Not-in-family,White,Female,-3,4,50,United-States,<=50K
37,68,Self-emp-inc,294561,HS-grad,10,Never-married,Sales,Not-in-family,White,Male,2075,2,40,Canada,<=50K
38,43,Self-emp-inc,180796,10th,7,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,-50,0,64,United-States,>50K
39,57,?,108246,Some-college,9,Never-married,?,Husband,Black,Male,-152,2,48,United-States,<=50K
40,39,Private,69639,HS-grad,10,Never-married,Machine-op-inspct,Own-child,White,Male,-138,-2,40,United-States,>50K
41,36,Local-gov,325764,Some-college,10,Married-civ-spouse,Sales,Own-child,Black,Female,2394,5,40,United-States,>50K
42,49,Self-emp-inc,164398,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,-46,1,40,United-States,<=50K
43,54,Private,327719,Bachelors,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,-9,-2,40,Portugal,<=50K
44,30,Private,466283,Assoc-acdm,10,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,-61,4,40,United-States,<=50K
45,41,?,46628,11th,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,-1221,5,40,Philippines,<=50K
46,44,Private,365425,Bachelors,10,Separated,Exec-managerial,Unmarried,Black,Male,-127,0,40,Cuba,<=50K
47,37,?,392294,HS-grad,11,Married-civ-spouse,Tech-support,Husband,White,Male,-89,2,10,United-States,>50K
48,82,Private,199863,HS-grad,14,Never-married,Adm-clerical,Own-child,White,Female,12441,1,17,Jamaica,>50K
49,60,Private,297366,Bachelors,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,-100,7,66,United-States,>50K
50,42,?,62350,10th,10,Never-married,Adm-clerical,Husband,White,Male,-86,8,60,United-States,<=50K
51,30,Private,223345,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,-82,6,36,Columbia,<=50K
52,43,Private,204654,HS-grad,10,Never-married,Transport-moving,Not-in-family,White,Male,-34,8,50,United-States,>50K
53,36,Private,158800,Some-college,9,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,-136,-2,51,United-States,<=50K
54,22,Private,217380,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,Other,Male,-110,2,32,United-States,>50K
55,20,Federal-gov,191901,5th-6th,14,Married-civ-spouse,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Male,14,2,23,Mexico,<=50K
56,56,State-gov,144711,Masters,6,Married-civ-spouse,Prof-specialty,Husband,White,Female,-115,1,46,United-States,<=50K
57,44,Self-emp-not-inc,195744,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-127,2,40,United-States,<=50K
58,53,Private,41055,Some-college,16,Married-spouse-absent,?,Own-child,White,Female,-107,6,55,United-States,<=50K
59,35,Private,79453,Masters,16,Separated,Exec-managerial,Husband,White,Male,-1460,6,40,United-States,<=50K
60,16,Private,225952,Some-college,9,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,-852,5,40,United-States,<=50K
61,47,Federal-gov,225419,9th,10,Married-civ-spouse,Prof-specialty,Own-child,White,Female,-89,2,23,Columbia,>50K
62,21,Private,305101,HS-grad,11,Separated,Handlers-cleaners,Own-child,Black,Female,-52,7,39,Nicaragua,<=50K
63,31,?,36725,10th,14,Married-civ-spouse,Transport-moving,Unmarried,White,Male,-166,0,40,United-States,>50K
64,37,Federal-gov,208544,Some-college,10,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,-2,1,40,United-States,<=50K
65,33,?,63494,HS-grad,9,Separated,Farming-fishing,Own-child,White,Male,-74,2,40,United-States,<=50K
66,35,Private,172610,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,1012,3,40,United-States,<=50K
67,57,Private,184821,HS-grad,10,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,-99,0,40,United-States,<=50K
68,16,Private,237068,HS-grad,9,Widowed,Prof-specialty,Unmarried,White,Female,2864,2,40,United-States,<=50K
69,50,Private,159510,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,-57,0,51,United-States,<=50K
70,67,Private,446735,12th,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,-121,2,40,United-States,>50K
71,41,Self-emp-not-inc,191817,Some-college,13,Married-civ-spouse,Sales,Unmarried,White,Male,-145,5,46,United-States,<=50K
72,18,Local-gov,178545,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,6,4,28,United-States,<=50K
73,72,Private,136877,Masters,11,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,7630,3,40,United-States,<=50K
74,88,Never-worked,318529,Bachelors,9,Separated,Sales,Own-child,White,Male,-91,5,40,Puerto-Rico,>50K
75,84,?,304390,HS-grad,13,Married-civ-spouse,Sales,Other-relative,Black,Male,-127,2248,64,Guatemala,<=50K
76,34,?,68010,10th,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,-85,2,40,United-States,<=50K
77,53,Private,105183,Masters,7,Married-civ-spouse,Farming-fishing,Own-child,White,Male,12689,4,18,United-States,<=50K
78,50,Local-gov,127220,HS-grad,13,Widowed,Prof-specialty,Husband,White,Female,-391,-3,40,Columbia,<=50K
79,62,Private,159070,HS-grad,14,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,-21,3,52,United-States,>50K
80,52,Self-emp-inc,69321,Masters,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,-71,3,40,United-States,>50K
81,25,Private,126430,Prof-school,7,Married-civ-spouse,Other-service,Husband,White,Female,-107,1,51,?,>50K
82,23,?,27028,HS-grad,8,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,-36,4,22,Germany,<=50K
83,65,Private,107752,HS-grad,9,Divorced,Protective-serv,Not-in-family,Black,Female,-26,3,40,United-States,<=50K
84,41,Private,195809,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,-126,7,40,United-States,<=50K
85,50,Self-emp-not-inc,113767,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-154,-1,40,United-States,<=50K
86,24,Private,123275,HS-grad,10,Never-married,Sales,Own-child,White,Female,6826,7,40,United-States,<=50K
87,36,Federal-gov,238697,9th,8,Never-married,Other-service,Wife,White,Male,-127,4,38,United-States,<=50K
88,41,?,149148,7th-8th,14,Never-married,Tech-support,Husband,White,Female,-38,5,40,?,<=50K
89,19,Private,439860,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,-86,4,40,United-States,>50K
90,42,Private,188462,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,-112,5,38,United-States,<=50K
91,28,Federal-gov,99461,HS-grad,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,-118,3,40,United-States,<=50K
92,45,?,151607,Prof-school,17,Married-civ-spouse,Tech-support,Not-in-family,White,Male,-78,1,40,United-States,<=50K
93,56,Private,200406,HS-grad,10,Divorced,Sales,Not-in-family,White,Male,9,0,30,United-States,<=50K
94,21,Private,147475,HS-grad,9,Married-civ-spouse,Sales,Other-relative,Black,Female,13440,6,60,United-States,>50K
95,27,Private,296702,Bachelors,13,Never-married,Tech-support,Unmarried,White,Female,-116,3,38,United-States,>50K
96,73,Private,125808,HS-grad,10,Never-married,Prof-specialty,Wife,White,Female,-115,2,40,United-States,<=50K
97,38,Private,124114,HS-grad,9,Never-married,Exec-managerial,Husband,White,Male,-70,-1,46,United-States,<=50K
98,39,Private,49649,Some-college,7,Married-civ-spouse,Prof-specialty,Own-child,White,Male,-87,5,12,United-States,>50K
99,61,Private,271543,Bachelors,7,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,-125,0,39,United-States,<=50K
100,16,?,186663,11th,9,Married-civ-spouse,Sales,Not-in-family,White,Male,-122,3,40,United-States,>50K
101,60,Private,177028,HS-grad,10,Married-civ-spouse,Prof-specialty,Own-child,White,Male,9,5,35,United-States,<=50K
102,47,?,272005,Masters,10,Married-civ-spouse,Other-service,Husband,White,Female,122,3,40,United-States,<=50K
103,34,Private,214165,HS-grad,10,Married-spouse-absent,Prof-specialty,Unmarried,White,Male,-109,4,40,Nicaragua,<=50K
104,22,Federal-gov,191669,Bachelors,9,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Female,-40,-6,48,United-States,<=50K
105,33,Self-emp-not-inc,263542,HS-grad,11,Married-civ-spouse,Craft-repair,Husband,Black,Female,3384,5,55,Philippines,<=50K
106,27,Private,72306,HS-grad,10,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Female,-97,5,40,Italy,<=50K
107,23,Private,73343,HS-grad,10,Married-civ-spouse,Other-service,Own-child,White,Male,-107,-3,9,United-States,<=50K
108,35,Federal-gov,136504,HS-grad,10,Married-civ-spouse,Adm-clerical,Unmarried,Black,Male,12384,-4,87,United-States,<=50K
109,40,Local-gov,64630,Some-college,9,Married-civ-spouse,?,Not-in-family,Amer-Indian-Eskimo,Male,-118,1,29,United-States,<=50K
110,23,Private,47865,Some-college,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,-106,5,40,United-States,>50K
111,31,Private,346276,Masters,10,Married-civ-spouse,Exec-managerial,Own-child,White,Male,-153,1,40,United-States,<=50K
112,67,Local-gov,261300,11th,9,Married-civ-spouse,Transport-moving,Husband,White,Female,-114,3,51,United-States,<=50K
113,70,Private,295834,HS-grad,10,Separated,Prof-specialty,Not-in-family,White,Male,-17,4,40,United-States,<=50K
114,31,Private,171975,HS-grad,9,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Male,-626,5,66,United-States,<=50K
115,46,Private,416485,Bachelors,10,Never-married,Craft-repair,Not-in-family,White,Female,-17,1825,40,United-States,<=50K
116,41,Federal-gov,149318,Bachelors,9,Widowed,Prof-specialty,Husband,White,Female,-125,4,40,United-States,<=50K
117,52,Private,67894,Bachelors,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-103,6,40,United-States,<=50K
118,46,Local-gov,171037,HS-grad,9,Married-civ-spouse,Other-service,Own-child,White,Male,-57,4,40,United-States,<=50K
119,28,Private,116617,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,-113,4,40,United-States,<=50K
120,24,Self-emp-inc,95089,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,-128,5,40,Mexico,<=50K
121,42,Private,170432,Some-college,16,Married-civ-spouse,Craft-repair,Unmarried,White,Male,-76,3,40,United-States,<=50K
122,32,State-gov,212098,Masters,13,Married-civ-spouse,Sales,Wife,Black,Male,-127,8,70,United-States,<=50K
123,34,Private,173627,7th-8th,16,Never-married,Other-service,Wife,White,Male,25,-6,31,United-States,<=50K
124,21,Private,160851,Some-college,14,Divorced,Adm-clerical,Not-in-family,White,Male,-68,7,50,El-Salvador,>50K
125,42,Private,159855,Bachelors,9,Divorced,Prof-specialty,Not-in-family,White,Male,-107,-2,37,India,<=50K
126,49,Private,456842,Bachelors,9,Never-married,Adm-clerical,Husband,White,Male,-29,-1,40,Honduras,<=50K
127,60,Private,54968,Some-college,14,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,-112,0,33,United-States,>50K
128,35,Local-gov,47687,Assoc-voc,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,-125,-4,68,United-States,>50K
129,52,Federal-gov,48512,Some-college,10,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,-119,2,37,United-States,<=50K
130,40,Private,52667,HS-grad,10,Married-civ-spouse,Prof-specialty,Own-child,White,Male,-149,4,52,United-States,>50K
131,21,State-gov,42434,HS-grad,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,-155,5,40,United-States,<=50K
132,41,Self-emp-not-inc,289572,Some-college,7,Married-civ-spouse,Other-service,Not-in-family,White,Male,-93,7,51,United-States,<=50K
133,20,State-gov,337737,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,1214,3,40,United-States,<=50K
134,42,Self-emp-not-inc,126119,HS-grad,13,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,-92,7,64,Mexico,<=50K
135,43,Private,213231,HS-grad,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,-13,-2,40,United-States,<=50K
136,49,Self-emp-not-inc,170942,Bachelors,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,-104,3,40,Mexico,>50K
137,38,Private,154222,12th,9,Widowed,Machine-op-inspct,Not-in-family,White,Male,1,5,52,Hungary,<=50K
138,45,Local-gov,115758,11th,10,Never-married,Adm-clerical,Own-child,White,Male,-87,4,63,United-States,<=50K
139,37,Private,222913,Bachelors,13,Separated,Machine-op-inspct,Not-in-family,White,Male,-33,-1,38,United-States,<=50K
140,21,Self-emp-inc,403936,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,-68,0,40,United-States,<=50K
141,19,Private,615909,5th-6th,9,Married-civ-spouse,Sales,Not-in-family,White,Male,-148,4,51,United-States,>50K
142,36,Self-emp-not-inc,85703,HS-grad,9,Never-married,Adm-clerical,Husband,White,Male,7480,0,52,Puerto-Rico,<=50K
143,30,Private,284051,Bachelors,9,Married-civ-spouse,Tech-support,Husband,Black,Male,-21,5,40,United-States,>50K
144,35,Self-emp-not-inc,176147,HS-grad,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-66,4,51,United-States,>50K
145,22,?,143370,HS-grad,11,Married-civ-spouse,Adm-clerical,Own-child,White,Female,-73,4,40,United-States,<=50K
146,23,Private,326381,Masters,13,Married-civ-spouse,Other-service,Unmarried,White,Female,-118,-6,40,United-States,<=50K
147,21,Private,36405,HS-grad,9,Married-civ-spouse,Tech-support,Own-child,White,Male,-123,4,40,United-States,<=50K
148,31,Private,165575,HS-grad,10,Never-married,Exec-managerial,Husband,White,Female,-124,5,40,United-States,<=50K
149,43,Self-emp-inc,288508,Masters,11,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,2214,-1,44,United-States,<=50K
150,35,Local-gov,58734,Bachelors,14,Never-married,Prof-specialty,Own-child,White,Male,13250,8,30,United-States,<=50K
151,83,Private,300853,HS-grad,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,-124,2,40,United-States,<=50K
152,56,Self-emp-not-inc,225440,Masters,7,Married-civ-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Male,-72,1,36,United-States,<=50K
153,38,State-gov,152565,Bachelors,9,Married-civ-spouse,Other-service,Own-child,White,Male,-67,1,70,United-States,<=50K
154,34,Self-emp-not-inc,192909,Bachelors,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,-116,0,113,United-States,<=50K
155,27,Private,344899,Bachelors,9,Never-married,Other-service,Own-child,White,Male,-96,6,35,United-States,>50K
156,36,Private,357163,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,-140,-3,56,United-States,<=50K
157,33,Private,64548,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,-137,3,40,Mexico,<=50K
158,19,Private,234941,10th,10,Married-spouse-absent,Craft-repair,Wife,White,Male,-15,3,30,Honduras,<=50K
159,52,Self-emp-not-inc,306786,HS-grad,10,Separated,Sales,Other-relative,White,Male,-64,1,92,United-States,<=50K
160,22,Private,196206,HS-grad,5,Married-civ-spouse,Exec-managerial,Own-child,White,Male,-147,4,50,United-States,<=50K
161,81,Private,198644,HS-grad,13,Married-civ-spouse,Other-service,Own-child,White,Male,-138,-2,16,United-States,<=50K
162,34,Private,298805,Prof-school,13,Married-civ-spouse,Prof-specialty,Own-child,Other,Male,6449,2,40,United-States,>50K
163,24,?,169907,HS-grad,11,Never-married,Adm-clerical,Husband,White,Male,-99,4,40,United-States,<=50K
164,36,Private,262064,Masters,6,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Male,-85,-1,40,Taiwan,<=50K
165,47,Private,160439,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-68,6,40,Hong,<=50K
166,38,Private,249024,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-105,-2,80,United-States,>50K
167,39,Private,133659,HS-grad,13,Widowed,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,6637,5,40,United-States,>50K
168,27,Private,251747,HS-grad,11,Married-civ-spouse,Sales,Husband,White,Male,-86,3,40,China,>50K
169,36,?,239695,Bachelors,10,Widowed,Adm-clerical,Own-child,White,Male,-140,6,40,United-States,<=50K
170,39,Self-emp-not-inc,151268,HS-grad,14,Married-civ-spouse,Prof-specialty,Own-child,White,Male,5392,8,52,United-States,>50K
171,44,Private,278146,Bachelors,10,Never-married,Machine-op-inspct,Husband,White,Male,8734,1,40,United-States,<=50K
172,65,Private,124909,Assoc-acdm,9,Divorced,Prof-specialty,Unmarried,White,Male,11,0,51,United-States,<=50K
173,32,State-gov,576514,10th,14,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-62,2360,40,Peru,>50K
174,51,Private,39622,HS-grad,14,Never-married,Adm-clerical,Not-in-family,Black,Male,-123,-3,51,United-States,>50K
175,19,Federal-gov,278513,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,959,-1,36,United-States,<=50K
176,67,Private,82058,HS-grad,14,Divorced,Exec-managerial,Unmarried,White,Male,-129,0,40,United-States,<=50K
177,55,Private,183791,Bachelors,9,Divorced,Adm-clerical,Husband,Black,Male,-141,4,40,Mexico,<=50K
178,29,?,186208,Some-college,13,Married-civ-spouse,Other-service,Not-in-family,White,Male,14835,7,31,Philippines,<=50K
179,22,Private,248618,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,-143,4,40,England,>50K
180,38,?,331132,Bachelors,10,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Female,-93,3,40,Mexico,>50K
181,66,Private,421094,10th,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,-48,3,40,El-Salvador,<=50K
182,61,?,39472,Bachelors,9,Never-married,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,-104,4,40,United-States,<=50K
183,54,Private,308311,11th,10,Married-civ-spouse,Sales,Not-in-family,White,Male,-113,0,29,United-States,<=50K
184,42,Private,253494,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-851,3,40,United-States,>50K
185,52,Private,234370,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,-37,5,57,United-States,<=50K
186,75,?,216211,HS-grad,13,Married-civ-spouse,Sales,Not-in-family,Other,Male,-95,-2,22,United-States,>50K
187,41,Private,282808,Assoc-voc,14,Widowed,Machine-op-inspct,Own-child,White,Male,-684,5,40,Germany,>50K
188,85,Self-emp-inc,168588,HS-grad,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,-197,6,40,United-States,<=50K
189,26,Private,242407,Some-college,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,5510,4,40,United-States,<=50K
190,51,Local-gov,231146,Masters,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,-83,4,40,United-States,<=50K
191,43,Private,237551,Some-college,9,Divorced,Transport-moving,Not-in-family,White,Female,-31,-2,37,United-States,<=50K
192,36,Private,553532,Masters,10,Married-civ-spouse,?,Not-in-family,White,Male,-145,1926,33,Haiti,<=50K
193,19,?,108332,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Female,-107,0,48,Cambodia,>50K
194,45,Private,63937,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,-67,5,40,United-States,<=50K
195,29,Private,47738,Some-college,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,425,5,40,United-States,>50K
196,40,Self-emp-not-inc,218595,Assoc-acdm,9,Married-civ-spouse,Sales,Unmarried,White,Male,-86,-3,40,United-States,<=50K
197,26,Private,149563,Assoc-voc,9,Divorced,Adm-clerical,Not-in-family,Black,Male,-113,7,40,United-States,<=50K
198,39,Private,165047,Assoc-acdm,14,Married-civ-spouse,Exec-managerial,Wife,White,Male,-99,4,40,United-States,>50K
199,40,Private,192898,Some-college,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,-82,7,40,United-States,<=50K
200,38,?,240852,Prof-school,9,Never-married,Prof-specialty,Unmarried,White,Female,2162,1,40,United-States,<=50K
201,20,State-gov,268856,HS-grad,14,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,-51,6,67,United-States,<=50K
202,28,Private,323024,Masters,11,Married-civ-spouse,Priv-house-serv,Husband,White,Male,-88,6,40,United-States,<=50K
203,38,Private,95403,11th,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,-64,2,40,United-States,<=50K
204,54,Private,291126,HS-grad,14,Never-married,Tech-support,Own-child,White,Male,-85,5,27,United-States,<=50K
205,34,Private,114580,Some-college,13,Married-civ-spouse,Prof-specialty,Wife,White,Male,37,1,38,Puerto-Rico,<=50K
206,34,Self-emp-not-inc,18083,10th,13,Married-civ-spouse,Handlers-cleaners,Own-child,Black,Female,-81,6,40,United-States,<=50K
207,61,Private,325875,HS-grad,11,Never-married,Sales,Own-child,White,Male,-24,2258,40,United-States,<=50K
208,42,Local-gov,211550,Some-college,7,Married-civ-spouse,Sales,Unmarried,Black,Male,12,1730,33,United-States,<=50K
209,64,State-gov,280998,Some-college,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,-146,3,27,United-States,<=50K
210,41,State-gov,168720,1st-4th,13,Never-married,Exec-managerial,Unmarried,Black,Female,3420,3,23,United-States,>50K
211,29,Self-emp-not-inc,208803,Some-college,9,Married-civ-spouse,Farming-fishing,Unmarried,White,Female,43,3,40,United-States,<=50K
212,43,Private,250280,Bachelors,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,6045,2,40,United-States,<=50K
213,44,Private,179129,HS-grad,9,Never-married,?,Own-child,White,Male,7065,0,18,United-States,>50K
214,38,Private,394987,HS-grad,16,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,892,3,40,United-States,<=50K
215,69,Self-emp-not-inc,246655,Bachelors,14,Married-civ-spouse,Other-service,Unmarried,White,Male,6222,-4,40,United-States,>50K
216,53,Private,471755,9th,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,-20,-2,40,United-States,<=50K
217,64,Federal-gov,219243,Bachelors,10,Never-married,Adm-clerical,Other-relative,White,Male,-86,6,64,United-States,<=50K
218,34,Local-gov,197913,HS-grad,7,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,2309,1,70,United-States,<=50K
219,41,State-gov,143669,Some-college,17,Never-married,Exec-managerial,Own-child,Black,Female,-67,6,40,United-States,<=50K
220,27,Private,183358,Some-college,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,357,5,50,United-States,<=50K
221,47,Self-emp-not-inc,46856,Masters,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,-25,-1,40,United-States,<=50K
222,17,Private,56638,Some-college,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,-15,2,40,United-States,<=50K
223,27,Private,127799,HS-grad,9,Married-civ-spouse,Sales,Other-relative,White,Male,-41,3,37,United-States,<=50K
